post_id,id,title,metadata,textto,genres,release date,year,image,quality,url
post-6470,6470,A Monsoon Date Hindi Short Movie,2019|21 min|4030 views,Download Link,Bollywood|India|Short,"Oct. 28, 2019",2019,https://extraimage.net/images/2019/06/06/7ae752c9cc357d3ac06a11b1282c6610.jpg,Short Film,https://hdmovie2.tools/movies/a-monsoon-date-hindi-short-movie/
post-6469,6469,Bhalwan Singh (????? ????),IMDb: 7.1|2017|135 min|3439 views,"Download Link Download Link 2 Download Link 3 Bhalwan Singh is desperate to stand against the British Empire, but he is not sure how to do it. ...",Drama|Family|Punjabi,"Oct. 27, 2017",2017,https://image.tmdb.org/t/p/w185/7FdMvWxwWtKkKGjRlx9xgMfWeDe.jpg,Punjabi,https://hdmovie2.tools/movies/bhalwan-singh-%e0%a8%ad%e0%a8%b2%e0%a8%b5%e0%a8%be%e0%a8%a8-%e0%a8%b8%e0%a8%bf%e0%a9%b0%e0%a8%98/
post-6458,6458,X-Men: Dark Phoenix (2019),IMDb: 5.8|2019|114 min|12843 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 635MB The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, ...",Action|Adventure|Hollywood|Science Fiction|USA,"Jun. 05, 2019",2019,https://image.tmdb.org/t/p/w185/cCTJPelKGLhALq3r51A9uMonxKj.jpg,DVDCam,https://hdmovie2.tools/movies/x-men-dark-phoenix-2019/
post-6456,6456,Blood Diamond Hindi Dubbed,IMDb: 8.0|2006|143 min|13350 views,Please USE VPN to Download or SINGUP 1080P [Gadrive] 4.39GB 720P [Gadrive] 1.37GB 480P [Gadrive] 433MB An ex-mercenary turned smuggler. A Mende ...,Action|Drama|Hindi Dubbed|India|Thriller,"Dec. 07, 2006",2006,https://image.tmdb.org/t/p/w185/kWQvJOgp1f9vOCZdsA2H8wsEjX4.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/blood-diamond-hindi-dubbed/
post-6455,6455,The Return of Abhimanyu (Irumbu Thirai) Hindi Dubbed,IMDb: 7.7|2018|160 min|4375 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 416MB Kathiravan, a major in the Indian army with anger management issues, is compelled by ...",Action|Hindi Dubbed|India|Thriller,"May. 11, 2018",2018,https://image.tmdb.org/t/p/w185/5yDCAvDtgJ9q7Fgs7Jy94nhRbV4.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/the-return-of-abhimanyu-irumbu-thirai-hindi-dubbed/
post-6452,6452,Hum Hai Players Hindi Dubbed,IMDb: 6.5|2019|1686 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.12GB 480P [Gadrive] 363MB,Hindi Dubbed|India,"May. 04, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,Hindi Dubbed,https://hdmovie2.tools/movies/hum-hai-players-hindi-dubbed/
post-6451,6451,Daringbaaz ACP Kaali Hindi Dubbed,IMDb: 6.5|2019|1085 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 606MB,Bollywood|Hindi Dubbed|India,"May. 04, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,Hindi Dubbed,https://hdmovie2.tools/movies/daringbaaz-acp-kaali-hindi-dubbed/
post-6450,6450,Dum Lagade De Aaj (Pa Paandi) Hindi Dubbed,IMDb: 7.5|2017|125 min|1259 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 1.43GB ‘Power’ Paandi, once a legendary stunt master who ruled the world of film stunts in ...",Action|Comedy|Hindi Dubbed|India|Romance,"Apr. 14, 2017",2017,https://image.tmdb.org/t/p/w185/g1J7jWk5gTuvycRANLb171kxsGb.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/dum-lagade-de-aaj-pa-paandi-hindi-dubbed/
post-6449,6449,Jabardast Josh (Josh) Hindi Dubbed,IMDb: 5.4|2019|1596 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 506MB,Action|Hindi Dubbed|India,"Apr. 05, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,Hindi Dubbed,https://hdmovie2.tools/movies/jabardast-josh-josh-hindi-dubbed/
post-6448,6448,Tender Dates (2018) Season 1 Complete,IMDb: 6.9|2018|3172 views,Download Link,Bollywood|India|TV-Series,"May. 05, 2018",2018,https://extraimage.net/images/2019/06/06/ae3327868c83f9edfdd2ac541d16efba.jpg,TV-Series,https://hdmovie2.tools/movies/tender-dates-2018-season-1-complete/
post-6430,6430,The Expendables 3 (2014) hindi Dubbed,IMDb: 6.1|2014|126 min|21889 views,"Please USE VPN to Download or SINGUP 1080P [Gadrive] 4.44GB 720P [Gadrive] 1.32GB 480P [Gadrive] 396MB Barney, Christmas and the rest of the team ...",Action|Adventure|Hindi Dubbed|India|Thriller,"Aug. 04, 2014",2014,https://image.tmdb.org/t/p/w185/6MD1qPgEdvOfPCJkA1dq0SdOz2.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/the-expendables-3/
post-6428,6428,Prometheus Hindi Dubbed,IMDb: 7|2012|124 min|26474 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 469MB A team of explorers discover a clue to the origins of mankind on Earth, leading them on ...",Adventure|Hindi Dubbed|India|Mystery|Science Fiction,"May. 30, 2012",2012,https://image.tmdb.org/t/p/w185/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/prometheus-hindi-dubbed/
post-6418,6418,Malibu Rescue Season 01 Hindi Complete,IMDb: 6.8|2019|1349 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 558MB,Hindi Dubbed|India|NETFLIX|TV-Series,"May. 05, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,Hindi DubbedTV-Series,https://hdmovie2.tools/movies/malibu-rescue-season-01-hindi-complete/
post-6414,6414,Godzilla: King of the Monsters,IMDb: 6.9|2019|132 min|8201 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 880MB The new story follows the heroic efforts of the crypto-zoological agency Monarch as its ...,Action|Hollywood|Science Fiction|Thriller|USA,"May. 29, 2019",2019,https://image.tmdb.org/t/p/w185/1lFKupnghulH7oMRTJRLTXMwgow.jpg,DVDCam,https://hdmovie2.tools/movies/godzilla-king-of-the-monsters/
post-6412,6412,Alludu Seenu (Mard Ka Badla) Hindi Dubbed,IMDb: 4.4|2014|151 min|2725 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 640MB,Action|Comedy|Hindi Dubbed|India,"Jul. 25, 2014",2014,https://image.tmdb.org/t/p/w185/lLggUJbDZgfar7UL7slW6S1bWny.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/alludu-seenu-hindi-dubbed/
post-6409,6409,Angry Sher (Arnmbi) Hindi Dubbed,IMDb: 6.5|2019|1770 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 533MB,Action|Hindi Dubbed|India,"May. 04, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,Hindi Dubbed,https://hdmovie2.tools/movies/angry-sher-arnmbi-hindi-dubbed/
post-6408,6408,The Ottoman Lieutenant Hindi Dubbed,IMDb: 6.5|2016|111 min|3264 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 668MB Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote ...",Drama|Hindi Dubbed|India|Romance|War,"Mar. 28, 2016",2016,https://image.tmdb.org/t/p/w185/c5E8KTDuGNdF4Lmv3OhsQ0W1zPw.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/the-ottoman-lieutenant-hindi-dubbed/
post-6407,6407,Bring It On: All or Nothing Hindi Dubbed,IMDb: 5.6|2006|99 min|1425 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 478MB A transfer student at a rough high school tries joining the cheer-leading squad and ...,Comedy|Hindi Dubbed|India,"Aug. 08, 2006",2006,https://image.tmdb.org/t/p/w185/5jdoQsOfSIILTfFGBOww2o3zjgV.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/bring-it-on-all-or-nothing-hindi-dubbed/
post-6399,6399,Yeh Crazy Dil Hindi Season 1,IMDb: 7.2|2019|1965 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 311MB,Bollywood|India|TV-Series,"Feb. 05, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,TV-Series,https://hdmovie2.tools/movies/yeh-crazy-dil-hindi-season-1/
post-6391,6391,Velainu Vandhutta Vellaikaaran (Disco Raja) Hindi Dubbed,IMDb: 6.3|2020|149 min|4228 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.54GB Disco Raja is an upcoming Telugu sci-fic movie written and directed by VI Anand. ...,Action|Hindi Dubbed|India|Thriller,"Jan. 24, 2020",2020,https://image.tmdb.org/t/p/w185/5yDIbq9u0ri55hEkKGTxEMot3dq.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/velainu-vandhutta-vellaikaaran-disco-raja-hindi-dubbed/
post-6390,6390,Wild Things 2 Hindi Dubbed,IMDb: 4.5|2004|95 min|5311 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 347MB Sequel to the hot film Wild Things, Wild Things 2 sees teenage bad girls Maya and ...",Crime|Drama|Hindi Dubbed|India|Mystery,"Feb. 19, 2004",2004,https://image.tmdb.org/t/p/w185/3aoRiK4Q36kS4kYWWeF1CG4HhZr.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/wild-things-2-hindi-dubbed/
post-6385,6385,Kung Fu Jungle Hindi Dubbed,IMDb: 6.5|2014|100 min|8074 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 642MB A martial arts instructor working at a police academy gets imprisoned after killing a ...,Action|Crime|Hindi Dubbed|India|Thriller,"Oct. 31, 2014",2014,https://image.tmdb.org/t/p/w185/pilhLgeUWSAT4sg8F4ISgvBHswn.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/kung-fu-jungle/
post-6391,6391,Velainu Vandhutta Vellaikaaran (Disco Raja) Hindi Dubbed,IMDb: 6.3|2020|149 min|4230 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 1.54GB Disco Raja is an upcoming Telugu sci-fic movie written and directed by VI Anand. ...,Action|Hindi Dubbed|India|Thriller,"Jan. 24, 2020",2020,https://image.tmdb.org/t/p/w185/5yDIbq9u0ri55hEkKGTxEMot3dq.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/velainu-vandhutta-vellaikaaran-disco-raja-hindi-dubbed/
post-6390,6390,Wild Things 2 Hindi Dubbed,IMDb: 4.5|2004|95 min|5314 views,"Please USE VPN to Download or SINGUP 720P [Gadrive] 347MB Sequel to the hot film Wild Things, Wild Things 2 sees teenage bad girls Maya and ...",Crime|Drama|Hindi Dubbed|India|Mystery,"Feb. 19, 2004",2004,https://image.tmdb.org/t/p/w185/3aoRiK4Q36kS4kYWWeF1CG4HhZr.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/wild-things-2-hindi-dubbed/
post-6385,6385,Kung Fu Jungle Hindi Dubbed,IMDb: 6.5|2014|100 min|8076 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 642MB A martial arts instructor working at a police academy gets imprisoned after killing a ...,Action|Crime|Hindi Dubbed|India|Thriller,"Oct. 31, 2014",2014,https://image.tmdb.org/t/p/w185/pilhLgeUWSAT4sg8F4ISgvBHswn.jpg,Hindi Dubbed,https://hdmovie2.tools/movies/kung-fu-jungle/
post-6362,6362,Cobra Hindi Dubbed,IMDb: 5.4|2019|2418 views,Please USE VPN to Download or SINGUP 720P [Gadrive] 444MB,Hindi Dubbed|India,"Apr. 05, 2019",2019,https://hdmovie2.tools/wp-includes/images/media/default.png,Hindi Dubbed,https://hdmovie2.tools/movies/cobra-hindi-dubbed/
